sample_id,token,is_word,is_CIU
1,ok,1,0
2,xxx,0,0
2,no,1,0
2,kidding,1,0
2,no,1,0
2,love,1,0
2,birds,1,0
2,yeah,1,0
2,this,1,0
2,one,1,0
2,yeah,1,1
3,no,1,0
4,well,1,0
4,the,1,1
4,cat,1,1
4,um,0,0
4,um,0,0
4,ran,1,1
4,uh,0,0
4,up,1,1
4,the,1,1
4,tree,1,1
4,so,1,1
4,the,1,1
4,um,0,0
4,style,1,0
4,help,1,0
4,me,1,0
4,so,1,0
4,but,1,0
4,um,0,0
4,the,1,0
4,um,0,0
4,father,1,1
4,um,0,0
4,but,1,1
4,um,0,0
4,uh,0,0
4,the,1,1
4,ladder,1,1
4,fell,1,1
4,um,0,0
4,the,1,1
4,dog,1,1
4,um,0,0
4,was,1,1
4,um,0,0
4,barking,1,1
4,um,0,0
4,the,1,1
4,um,0,0
4,father,1,0
4,truck,1,1
4,came,1,1
4,to,1,1
4,help,1,1
4,the,1,1
4,down,1,1
4,and,1,0
4,the,1,0
4,end,1,0
4,bird,1,1
4,was,1,0
4,same,1,0
5,meh,0,0
5,shit,1,0
5,laughs,1,0
5,uh,0,0
5,egg,1,0
5,at,1,0
5,uh,0,0
5,yes,1,0
5,xxx,0,0
5,l,0,0
5,l,0,0
5,leg,1,0
5,i,1,0
5,do,1,0
5,know,1,0
6,here,1,0
7,uh,0,0
7,bog,0,0
7,uh,0,0
7,dog,1,1
7,chased,1,1
7,a,1,0
7,xxx,0,0
7,up,1,1
7,a,1,1
7,tree,1,1
8,oh,0,0
8,uh,0,0
8,two,1,0
8,men,1,1
8,uh,0,0
8,sh,0,0
8,xxx,0,0
8,true,1,0
8,men,1,0
8,yes,1,0
9,dog,1,1
9,uh,0,0
9,laughs,1,0
9,xxx,0,0
9,two,1,0
9,uh,0,0
9,um,0,0
9,two,1,0
9,blaizt,0,0
9,dog,1,0
9,cat,1,1
9,log,1,0
9,tat,0,0
9,leg,1,0
9,uh,0,0
9,xxx,0,0
9,yes,1,0
11,okay,1,0
12,alright,1,0
13,mhm,0,0
14,aw,0,0
14,man,1,0
14,really,1,0
16,um,0,0
16,i,1,0
16,think,1,0
16,that,1,0
16,the,1,1
16,daughter,1,1
16,panicked,1,1
16,because,1,1
16,her,1,1
16,cat,1,1
16,climbed,1,1
16,up,1,1
16,the,1,1
16,tree,1,1
16,and,1,1
16,her,1,1
16,father,1,1
16,decided,1,1
16,to,1,1
16,climb,1,1
16,up,1,1
16,the,1,0
16,tr,0,0
16,and,1,1
16,uh,0,0
16,rescue,1,1
16,the,1,1
16,cat,1,1
16,and,1,0
16,her,1,1
